trade_date,vix7,vix7_mode,vix7_d1,vix7_d2,vix7_code1,vix7_code2,vix14,vix14_mode,vix14_d1,vix14_d2,vix14_code1,vix14_code2,vix30,vix30_mode,vix30_d1,vix30_d2,vix30_code1,vix30_code2,n_expiry_used,n_expiry_near,n_expiry_near_ok,dte_near,F_near,K0_near,ba_ratio,strip_min,expiry_src,warnings,vix7_span,vix14_span,vix30_span,close_0050
2020-01-02,12.135415796475876,interp,6.0,13.0,202001W2,202001,15.298595230795472,interp,13.0,48.0,202001,202002,14.31275782079914,interp,13.0,48.0,202001,202002,6,3,2,6.0,12111.5,12100.0,0.6520882584712372,27.0,empirical,202001W1(d0):dte=0 < 1,7.0,35.0,35.0,24.623432282003712
2020-01-03,13.709873093506877,interp,5.0,12.0,202001W2,202001,15.835795583032723,interp,12.0,47.0,202001,202002,14.849203646914631,interp,12.0,47.0,202001,202002,6,2,2,5.0,12098.0,12050.0,0.4607483492296405,29.0,empirical,,7.0,35.0,35.0,24.623432282003712
2020-01-06,17.762859978628757,interp,2.0,9.0,202001W2,202001,16.55608498324275,interp,9.0,44.0,202001,202002,15.01504921178119,interp,9.0,44.0,202001,202002,6,2,2,2.0,11957.75,11950.0,0.5058694057226706,29.0,empirical,,7.0,35.0,35.0,24.30823217598728
2020-01-07,17.374743441310624,interp,1.0,8.0,202001W2,202001,15.708036645544675,interp,8.0,43.0,202001,202002,14.356445526119591,interp,8.0,43.0,202001,202002,6,2,2,1.0,11877.5,11850.0,0.3851797505502567,29.0,empirical,,7.0,35.0,35.0,24.23258415054333
2020-01-08,19.527461629185204,exact,7.0,7.0,202001,202001,16.8414343531685,interp,7.0,42.0,202001,202002,15.216232326528855,interp,7.0,42.0,202001,202002,5,2,1,7.0,11786.0,11750.0,0.5925925925925926,54.0,empirical,202001W2(d0):dte=0 < 1,0.0,35.0,35.0,24.119112112377422
2020-01-09,16.090197748852553,interp,6.0,41.0,202001,202002,14.274027086358329,interp,6.0,41.0,202001,202002,13.20364804198864,interp,6.0,41.0,202001,202002,5,1,1,6.0,11970.0,11950.0,0.4444444444444444,54.0,empirical,,35.0,35.0,35.0,24.44692022263451
2020-01-10,16.108101431382032,interp,5.0,40.0,202001,202002,14.33745536357646,interp,5.0,40.0,202001,202002,13.297049675696371,interp,5.0,40.0,202001,202002,5,2,2,5.0,12011.0,12000.0,0.5022727272727272,44.0,empirical,,35.0,35.0,35.0,24.53517625231911
2020-01-13,12.456556723612048,interp,2.0,37.0,202001,202002,12.289683329284028,interp,2.0,37.0,202001,202002,12.199750905695748,interp,2.0,37.0,202001,202002,5,2,2,2.0,12117.0,12100.0,0.4691558441558441,44.0,empirical,,35.0,35.0,35.0,24.71168831168832
2020-01-14,12.627720662753829,interp,1.0,36.0,202001,202002,12.434962691372707,interp,1.0,36.0,202001,202002,12.33092643459741,interp,1.0,36.0,202001,202002,5,2,2,1.0,12182.0,12150.0,0.4822567783094099,44.0,empirical,,35.0,35.0,35.0,24.8629843625762
2020-01-15,,no_bracket,,,,,9.979476031487842,extrap,15.0,35.0,202001W4,202002,12.425424208261408,interp,15.0,35.0,202001W4,202002,5,3,2,15.0,12064.0,12050.0,0.6098290598290598,26.0,empirical,202001(d0):dte=0 < 1,,20.0,20.0,24.61082427776305
